filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
1nphs_9hrhs_A01_Brightfield2and4ul2506051700bl_hs.jpg,284339,"{}",34,0,"{""name"":""rect"",""x"":861,""y"":368,""width"":316,""height"":130}","{}"
1nphs_9hrhs_A01_Brightfield2and4ul2506051700bl_hs.jpg,284339,"{}",34,1,"{""name"":""rect"",""x"":835,""y"":183,""width"":151,""height"":123}","{}"
1nphs_9hrhs_A01_Brightfield2and4ul2506051700bl_hs.jpg,284339,"{}",34,2,"{""name"":""rect"",""x"":621,""y"":170,""width"":334,""height"":107}","{}"
1nphs_9hrhs_A01_Brightfield2and4ul2506051700bl_hs.jpg,284339,"{}",34,3,"{""name"":""rect"",""x"":1156,""y"":141,""width"":172,""height"":347}","{}"
1nphs_9hrhs_A01_Brightfield2and4ul2506051700bl_hs.jpg,284339,"{}",34,4,"{""name"":""rect"",""x"":1341,""y"":324,""width"":73,""height"":363}","{}"
1nphs_9hrhs_A01_Brightfield2and4ul2506051700bl_hs.jpg,284339,"{}",34,5,"{""name"":""rect"",""x"":1380,""y"":438,""width"":110,""height"":355}","{}"
1nphs_9hrhs_A01_Brightfield2and4ul2506051700bl_hs.jpg,284339,"{}",34,6,"{""name"":""rect"",""x"":1633,""y"":365,""width"":146,""height"":232}","{}"
1nphs_9hrhs_A01_Brightfield2and4ul2506051700bl_hs.jpg,284339,"{}",34,7,"{""name"":""rect"",""x"":1529,""y"":214,""width"":326,""height"":180}","{}"
1nphs_9hrhs_A01_Brightfield2and4ul2506051700bl_hs.jpg,284339,"{}",34,8,"{""name"":""rect"",""x"":1967,""y"":543,""width"":146,""height"":211}","{}"
1nphs_9hrhs_A01_Brightfield2and4ul2506051700bl_hs.jpg,284339,"{}",34,9,"{""name"":""rect"",""x"":1887,""y"":1177,""width"":217,""height"":227}","{}"
1nphs_9hrhs_A01_Brightfield2and4ul2506051700bl_hs.jpg,284339,"{}",34,10,"{""name"":""rect"",""x"":1537,""y"":1412,""width"":149,""height"":277}","{}"
1nphs_9hrhs_A01_Brightfield2and4ul2506051700bl_hs.jpg,284339,"{}",34,11,"{""name"":""rect"",""x"":1443,""y"":1383,""width"":151,""height"":313}","{}"
1nphs_9hrhs_A01_Brightfield2and4ul2506051700bl_hs.jpg,284339,"{}",34,12,"{""name"":""rect"",""x"":1435,""y"":1503,""width"":130,""height"":277}","{}"
1nphs_9hrhs_A01_Brightfield2and4ul2506051700bl_hs.jpg,284339,"{}",34,13,"{""name"":""rect"",""x"":1448,""y"":1119,""width"":89,""height"":350}","{}"
1nphs_9hrhs_A01_Brightfield2and4ul2506051700bl_hs.jpg,284339,"{}",34,14,"{""name"":""rect"",""x"":1106,""y"":1312,""width"":350,""height"":89}","{}"
1nphs_9hrhs_A01_Brightfield2and4ul2506051700bl_hs.jpg,284339,"{}",34,15,"{""name"":""rect"",""x"":1109,""y"":1263,""width"":76,""height"":321}","{}"
1nphs_9hrhs_A01_Brightfield2and4ul2506051700bl_hs.jpg,284339,"{}",34,16,"{""name"":""rect"",""x"":926,""y"":1203,""width"":266,""height"":112}","{}"
1nphs_9hrhs_A01_Brightfield2and4ul2506051700bl_hs.jpg,284339,"{}",34,17,"{""name"":""rect"",""x"":1237,""y"":1665,""width"":227,""height"":172}","{}"
1nphs_9hrhs_A01_Brightfield2and4ul2506051700bl_hs.jpg,284339,"{}",34,18,"{""name"":""rect"",""x"":1190,""y"":1652,""width"":144,""height"":352}","{}"
1nphs_9hrhs_A01_Brightfield2and4ul2506051700bl_hs.jpg,284339,"{}",34,19,"{""name"":""rect"",""x"":1117,""y"":1894,""width"":188,""height"":149}","{}"
1nphs_9hrhs_A01_Brightfield2and4ul2506051700bl_hs.jpg,284339,"{}",34,20,"{""name"":""rect"",""x"":939,""y"":1785,""width"":91,""height"":196}","{}"
1nphs_9hrhs_A01_Brightfield2and4ul2506051700bl_hs.jpg,284339,"{}",34,21,"{""name"":""rect"",""x"":861,""y"":1725,""width"":123,""height"":250}","{}"
1nphs_9hrhs_A01_Brightfield2and4ul2506051700bl_hs.jpg,284339,"{}",34,22,"{""name"":""rect"",""x"":785,""y"":1665,""width"":300,""height"":138}","{}"
